DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Life Ball,Ball Set,Machine,DrawNumber
03-Feb-2025,34,3,39,13,23,4,SFL9,Excalibur 6,615
06-Feb-2025,33,6,35,25,26,1,SFL9,Excalibur 6,616
10-Feb-2025,10,39,1,14,34,6,SFL7,Excalibur 4,617
13-Feb-2025,41,24,44,19,10,4,SFL7,Excalibur 4,618
17-Feb-2025,16,26,41,25,34,3,SFL8,Excalibur 4,619
20-Feb-2025,5,37,26,21,8,1,SFL8,Excalibur 4,620
24-Feb-2025,15,29,3,19,10,6,SFL8,Excalibur 5,621
27-Feb-2025,10,18,34,36,27,3,SFL8,Excalibur 5,622
03-Mar-2025,35,22,25,47,28,4,SFL8,Excalibur 5,623
06-Mar-2025,6,21,15,47,30,2,SFL8,Excalibur 5,624
10-Mar-2025,14,36,5,24,41,10,SFL9,Excalibur 6,625
13-Mar-2025,38,31,23,21,8,3,SFL9,Excalibur 6,626
17-Mar-2025,31,34,1,44,28,5,SFL7,Excalibur 6,627
20-Mar-2025,16,22,35,1,15,4,SFL7,Excalibur 6,628
24-Mar-2025,4,41,3,18,6,8,SFL9,Excalibur 4,629
27-Mar-2025,25,24,45,5,39,5,SFL9,Excalibur 4,630
31-Mar-2025,37,40,7,39,47,1,SFL7,Excalibur 4,631
03-Apr-2025,31,42,4,17,9,9,SFL7,Excalibur 4,632
07-Apr-2025,27,30,15,26,31,10,SFL9,Excalibur 5,633
10-Apr-2025,23,41,21,22,38,5,SFL9,Excalibur 5,634
14-Apr-2025,15,43,5,44,14,1,SFL7,Excalibur 5,635
17-Apr-2025,43,21,2,32,5,7,SFL1,Excalibur 5,636
21-Apr-2025,15,34,25,33,36,8,SFL2,Excalibur 6,637
24-Apr-2025,12,37,21,33,29,7,SFL2,Excalibur 6,638
28-Apr-2025,41,38,7,37,18,1,SFL3,Excalibur 6,639
01-May-2025,35,8,25,20,40,4,SFL3,Excalibur 6,640
05-May-2025,24,27,21,36,20,5,SFL1,Excalibur 4,641
08-May-2025,31,38,7,42,6,6,SFL1,Excalibur 4,642
12-May-2025,14,19,32,23,12,5,SFL2,Excalibur 4,643
15-May-2025,27,42,45,46,3,6,SFL2,Excalibur 4,644
19-May-2025,18,14,28,46,23,9,SFL3,Excalibur 5,645
22-May-2025,19,6,34,15,9,3,SFL3,Excalibur 5,646
